Age,Avg_BPM,BMI,Calories_Burned,Experience_Level,Fat_Percentage,Gender,Height (m),Max_BPM,Resting_BPM,Session_Duration (hours),Water_Intake (liters),Weight (kg),Workout_Frequency (days/week),Workout_Type
56,157,30.2,1313.0,3,12.6,Male,1.71,180,60,1.69,3.5,88.3,4,Yoga
46,151,32.0,883.0,2,33.9,Female,1.53,179,66,1.3,2.1,74.9,4,HIIT
32,122,24.71,677.0,2,33.4,Female,1.66,167,54,1.11,2.3,68.1,4,Cardio
25,164,18.41,532.0,1,28.8,Male,1.7,190,56,0.59,2.1,53.2,3,Strength
38,158,14.39,556.0,1,29.2,Male,1.79,188,68,0.64,2.8,46.1,3,Strength
56,156,20.55,1116.0,3,15.5,Female,1.68,168,74,1.59,2.7,58.0,5,HIIT
36,169,23.76,1385.0,2,21.3,Male,1.72,174,73,1.49,2.3,70.3,3,Cardio
40,141,30.57,895.0,2,30.6,Female,1.51,189,64,1.27,1.9,69.7,3,Cardio
28,127,32.34,719.0,2,28.9,Male,1.94,185,52,1.03,2.6,121.7,4,Strength
28,136,30.07,808.0,1,29.7,Male,1.84,169,64,1.08,2.7,101.8,3,Cardio
41,146,43.31,593.0,1,20.5,Male,1.67,188,54,0.82,3.0,120.8,2,HIIT
53,152,17.89,865.0,2,23.6,Male,1.7,175,72,1.15,3.5,51.7,3,HIIT
57,165,43.4,1013.0,2,22.1,Male,1.61,195,61,1.24,2.7,112.5,3,Cardio
41,136,23.62,794.0,1,27.6,Male,2.0,179,69,1.18,3.7,94.5,3,HIIT
20,161,35.93,1195.0,2,26.4,Male,1.81,196,54,1.35,3.3,117.7,3,Yoga
39,131,13.88,740.0,1,26.2,Female,1.75,181,52,1.13,2.1,42.5,2,Strength
19,167,27.34,1111.0,2,29.8,Female,1.53,166,58,1.33,2.3,64.0,3,HIIT
41,165,13.98,884.0,1,31.9,Female,1.77,182,58,1.19,1.6,43.8,3,Cardio
47,146,21.81,742.0,2,32.8,Female,1.75,199,56,1.13,2.5,66.8,3,Strength
55,167,26.96,1030.0,1,25.2,Female,1.67,188,51,1.37,2.2,75.2,2,HIIT
19,127,28.41,1048.0,2,28.9,Male,1.77,175,72,1.5,3.7,89.0,4,Strength
38,142,22.95,875.0,1,25.7,Male,1.77,197,72,1.12,3.1,71.9,2,Cardio
50,161,25.16,848.0,1,33.1,Female,1.68,187,70,1.17,2.5,71.0,2,Yoga
29,168,38.16,721.0,1,28.1,Male,1.78,197,65,0.78,3.4,120.9,2,Yoga
39,148,22.51,925.0,2,26.9,Female,1.69,190,58,1.25,1.9,64.3,4,HIIT
42,169,21.78,1080.0,2,26.1,Female,1.71,173,62,1.42,1.8,63.7,3,Yoga
44,139,20.12,502.0,1,27.2,Male,1.8,192,68,0.73,2.7,65.2,2,HIIT
59,135,17.6,989.0,2,21.6,Male,1.75,168,69,1.48,2.8,53.9,4,Strength
45,136,24.54,1104.0,3,14.2,Male,1.86,186,66,1.64,3.5,84.9,5,HIIT
33,135,27.64,871.0,2,32.3,Female,1.68,183,55,1.29,1.8,78.0,3,HIIT
